age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
28.0,1,4.14,2.79,1.28,2.99,5.08,23.0,58.0,5.24,1,0,1,0
31.0,2,3.39,0.57,0.03,3.69,4.62,242.0,45.0,6.05,2,1,2,0
25.0,1,3.0,2.33,0.78,3.46,6.96,121.0,149.0,5.34,2,1,2,0
24.0,0,3.09,0.89,3.94,3.48,8.55,128.0,161.0,5.43,0,1,1,0
30.0,2,4.51,2.51,0.28,5.18,7.64,168.0,158.0,5.16,0,1,1,0
20.0,0,3.48,1.27,3.1,1.76,5.58,112.0,149.0,5.24,1,1,2,0
33.0,2,5.43,1.92,3.37,3.67,5.28,67.0,156.0,8.21,2,0,1,0
35.0,0,4.91,2.92,2.68,3.82,8.75,44.0,29.0,5.5,2,0,2,0
19.0,2,3.46,1.47,1.41,2.73,5.69,237.0,78.0,4.56,1,0,2,0
33.0,0,3.36,3.82,1.34,1.08,4.8,46.0,166.0,4.84,0,1,1,0
29.0,1,5.93,2.04,0.71,3.38,4.96,68.0,78.0,8.64,2,1,1,0
20.0,2,4.21,2.81,1.48,4.33,6.71,35.0,50.0,6.98,2,0,1,0
33.0,2,7.67,2.98,0.84,4.8,7.63,81.0,104.0,9.62,1,1,1,0
22.0,1,7.63,2.76,0.54,4.35,5.19,45.0,133.0,8.77,0,1,1,0
30.0,2,3.03,3.97,1.94,1.78,5.84,73.0,68.0,4.23,1,1,2,0
28.0,2,4.36,2.48,2.89,0.98,7.55,206.0,73.0,7.23,0,0,2,0
23.0,1,4.77,0.78,1.97,4.64,6.38,223.0,72.0,5.82,1,0,1,0
22.0,0,4.47,1.43,0.73,1.89,4.58,122.0,76.0,6.7,2,1,2,0
27.0,1,4.23,1.94,2.38,1.44,5.58,58.0,74.0,6.46,2,1,2,0
21.0,2,4.72,2.96,3.75,1.44,7.47,61.0,82.0,6.88,1,1,1,0
29.0,0,4.94,0.88,1.1,3.54,4.5,139.0,25.0,6.93,1,1,2,0
34.0,2,4.41,2.04,0.66,1.38,5.34,61.0,150.0,7.05,0,1,2,0
28.0,2,4.59,1.4,1.35,5.97,6.23,144.0,22.0,7.02,2,0,2,0
35.0,1,7.34,3.64,0.24,4.35,5.33,227.0,137.0,8.16,0,1,1,0
33.0,0,3.04,2.82,3.55,3.57,7.21,97.0,143.0,5.6,1,0,1,0
29.0,2,4.51,3.91,1.08,1.87,6.15,185.0,112.0,7.18,0,0,2,0
21.0,2,3.39,0.86,2.7,5.65,6.9,186.0,22.0,5.44,2,0,2,0
21.0,0,5.41,1.96,0.91,5.65,5.99,25.0,160.0,6.79,1,1,1,0
18.0,2,6.95,2.27,0.13,4.06,5.88,228.0,60.0,8.2,0,0,1,0
24.0,1,3.17,2.84,1.88,3.9,5.55,118.0,131.0,4.82,0,1,1,0
33.0,0,4.95,2.77,3.1,2.8,8.5,72.0,70.0,7.49,2,0,2,0
27.0,0,5.8,0.93,2.3,2.08,4.8,52.0,81.0,6.83,0,0,2,0
35.0,0,4.89,3.21,1.05,0.58,5.1,43.0,130.0,6.5,2,1,2,0
31.0,0,6.95,2.54,3.88,5.98,8.06,91.0,63.0,9.51,1,1,1,0
19.0,0,4.92,3.23,2.22,2.93,6.12,121.0,135.0,7.8,0,0,2,0
20.0,2,7.79,1.47,2.16,3.56,6.35,220.0,178.0,9.05,1,1,1,0
27.0,2,4.16,2.53,1.69,3.54,7.9,75.0,157.0,6.7,1,1,1,0
20.0,2,6.23,3.34,3.06,4.91,8.6,81.0,85.0,8.75,0,1,1,0
34.0,2,6.85,2.96,1.33,0.5,8.0,68.0,96.0,8.56,2,0,1,0
25.0,0,4.35,2.24,1.66,0.85,5.74,245.0,55.0,7.25,1,1,1,0
30.0,2,5.96,0.5,0.9,5.66,6.62,51.0,87.0,7.32,0,0,1,0
29.0,0,5.96,2.7,1.19,5.67,5.32,32.0,163.0,7.12,0,0,1,0
20.0,2,6.07,2.74,3.36,2.72,4.79,145.0,69.0,7.52,1,1,1,0
23.0,1,4.73,2.23,0.61,3.27,8.91,26.0,173.0,5.7,0,1,1,0
26.0,1,6.07,1.21,1.14,5.08,8.18,44.0,31.0,7.43,1,1,1,0
35.0,2,4.02,3.61,0.34,1.01,7.22,20.0,130.0,6.58,1,0,1,0
31.0,1,5.12,3.98,3.33,5.91,5.9,99.0,163.0,6.89,0,1,1,0
33.0,2,7.87,1.43,2.3,4.56,6.76,54.0,45.0,8.61,0,1,1,0
30.0,2,5.63,3.85,1.46,5.15,5.38,88.0,170.0,7.36,0,1,2,0
31.0,2,3.3,1.14,0.79,1.61,7.34,222.0,22.0,4.7,0,0,1,0
35.0,2,3.41,3.13,0.86,3.09,7.88,59.0,28.0,4.83,2,0,1,0
29.0,0,4.85,0.84,1.01,3.02,6.98,225.0,63.0,5.99,0,0,2,0
22.0,0,4.09,1.3,1.02,3.23,6.44,48.0,39.0,6.8,1,1,2,0
27.0,1,3.89,1.82,1.13,5.4,5.29,149.0,20.0,6.26,1,1,1,0
28.0,1,3.82,2.22,1.43,5.86,6.16,179.0,123.0,4.96,2,0,2,0
21.0,1,7.36,1.21,1.22,1.95,6.86,184.0,58.0,9.28,0,1,1,0
33.0,1,4.03,3.82,2.11,4.45,5.99,37.0,43.0,4.82,1,0,2,0
27.0,2,5.51,0.83,2.93,5.04,7.98,174.0,80.0,6.43,1,1,1,0
34.0,2,4.52,3.19,1.76,1.71,8.21,138.0,88.0,6.49,1,0,1,0
33.0,2,5.94,2.07,3.28,4.85,5.75,216.0,177.0,7.32,2,0,1,0
18.0,0,3.64,1.58,3.1,1.94,5.18,64.0,104.0,5.61,0,1,1,0
35.0,1,6.2,2.26,3.69,2.72,8.61,214.0,84.0,7.24,1,1,1,0
18.0,2,4.66,0.78,0.29,2.8,8.57,123.0,25.0,6.3,1,0,2,0
19.0,2,3.49,1.81,0.64,1.14,7.08,119.0,174.0,4.48,0,1,1,0
29.0,2,4.14,2.68,2.32,1.95,4.97,210.0,21.0,6.64,2,1,2,0
24.0,1,5.43,1.48,0.13,5.05,8.56,75.0,35.0,7.91,0,0,1,0
23.0,1,4.29,3.07,2.47,5.72,8.42,149.0,160.0,5.27,1,0,1,0
34.0,1,3.52,1.07,3.23,0.68,6.08,195.0,163.0,4.4,0,1,1,0
22.0,0,4.89,3.22,0.18,2.08,6.86,27.0,116.0,7.02,2,1,1,0
27.0,2,4.17,3.72,0.79,3.73,6.61,53.0,45.0,6.89,1,0,2,0
18.0,0,4.85,2.77,3.31,1.43,8.77,229.0,62.0,7.8,1,0,1,0
30.0,2,3.09,3.46,3.59,2.47,4.89,169.0,166.0,3.67,1,0,1,0
25.0,2,4.58,1.52,1.62,3.83,7.92,39.0,140.0,6.35,0,1,1,0
35.0,1,5.32,3.54,1.32,5.24,8.85,119.0,37.0,7.04,1,0,2,0
27.0,0,3.43,1.61,3.25,1.57,6.8,120.0,177.0,4.21,2,1,1,0
22.0,1,7.36,2.51,2.46,4.31,7.47,24.0,86.0,9.04,0,1,1,0
25.0,2,7.07,0.98,0.57,1.11,8.12,93.0,130.0,9.63,1,1,1,0
33.0,1,5.09,1.24,2.81,4.38,5.31,249.0,52.0,5.84,1,0,2,0
28.0,1,3.45,1.03,2.47,3.68,8.0,67.0,160.0,6.28,1,0,1,0
25.0,2,4.79,2.84,3.25,0.53,7.81,107.0,133.0,6.1,0,0,1,0
21.0,2,7.48,3.08,1.09,5.45,5.17,57.0,40.0,10.12,2,0,1,0
21.0,1,7.08,1.06,2.65,3.75,6.14,80.0,158.0,8.4,2,1,1,0
33.0,1,3.91,2.14,0.83,5.76,4.89,75.0,96.0,6.04,2,1,1,0
19.0,2,4.56,3.32,1.21,3.03,7.53,126.0,161.0,7.45,0,1,1,0
34.0,2,4.67,1.14,0.84,3.9,8.96,144.0,146.0,5.71,1,1,1,0
26.0,0,7.84,1.8,3.21,3.84,7.79,200.0,53.0,9.64,1,0,1,0
34.0,1,4.38,1.33,0.21,1.29,5.93,213.0,68.0,6.43,0,1,1,0
22.0,2,5.17,3.27,2.78,0.65,7.26,146.0,103.0,6.87,1,0,1,0
19.0,2,4.86,2.1,0.8,0.79,5.12,42.0,68.0,5.46,1,1,1,0
20.0,2,7.75,2.57,3.97,4.16,5.01,41.0,21.0,9.61,0,1,1,0
35.0,2,5.17,2.7,2.31,3.14,4.53,192.0,50.0,7.66,2,0,1,0
28.0,1,5.16,2.47,1.24,4.13,8.57,175.0,63.0,6.53,1,1,1,0
20.0,2,5.35,0.56,0.18,4.03,7.45,179.0,108.0,7.77,0,0,2,0
27.0,1,7.96,2.21,2.38,0.52,5.72,113.0,41.0,10.46,2,0,1,0
35.0,1,6.66,2.51,3.33,2.68,7.2,218.0,163.0,8.19,1,0,1,0
23.0,2,3.25,3.88,0.72,1.46,5.33,218.0,72.0,5.15,0,0,1,0
19.0,1,3.59,0.99,2.67,4.65,6.56,216.0,31.0,4.4,1,0,2,0
26.0,0,4.51,0.59,1.2,0.59,6.79,95.0,37.0,7.2,0,0,1,0
31.0,2,4.12,0.56,2.85,2.45,4.85,55.0,21.0,6.93,1,0,1,0
35.0,1,7.64,3.96,2.65,5.2,7.56,50.0,74.0,8.72,1,0,1,0
24.0,2,3.84,1.79,1.1,3.96,6.49,191.0,134.0,6.54,0,1,1,0
23.0,1,4.55,0.78,2.03,1.28,8.46,98.0,87.0,6.35,2,1,1,0
25.0,2,5.21,2.41,0.46,2.75,5.23,61.0,27.0,5.91,1,1,1,0
28.0,0,3.91,2.06,1.03,2.81,8.1,144.0,94.0,5.7,1,0,2,0
34.0,1,4.97,1.68,1.94,5.43,5.1,218.0,127.0,7.31,1,0,2,0
33.0,1,4.24,1.76,3.46,3.0,5.16,133.0,91.0,7.03,2,0,1,0
32.0,1,4.15,0.57,0.2,5.59,7.04,75.0,62.0,5.38,1,1,2,0
26.0,1,5.62,3.93,0.71,0.71,6.23,169.0,175.0,8.16,1,1,2,0
19.0,0,4.86,2.36,1.42,4.61,8.34,92.0,55.0,7.44,0,0,2,0
18.0,1,5.5,2.46,3.01,5.67,7.9,95.0,58.0,7.73,1,0,1,0
29.0,2,5.6,2.97,0.21,1.99,6.67,178.0,116.0,6.2,2,1,1,0
19.0,1,4.9,3.21,2.12,0.58,7.06,204.0,71.0,5.78,2,0,2,0
18.0,2,7.74,2.36,0.97,3.0,4.53,35.0,20.0,8.49,0,1,1,0
21.0,1,4.52,2.68,3.32,5.31,8.75,30.0,96.0,5.26,2,1,2,0
22.0,2,3.15,1.0,0.83,4.91,5.09,80.0,42.0,5.6,1,0,1,0
32.0,0,5.52,3.35,0.67,3.31,6.7,22.0,142.0,8.3,2,1,2,0
26.0,0,5.65,0.58,0.56,3.18,5.12,23.0,111.0,6.99,2,0,2,0
21.0,1,3.79,1.86,2.99,3.02,5.53,172.0,143.0,6.45,1,1,1,0
19.0,2,6.2,2.06,1.9,1.85,8.06,94.0,140.0,8.89,0,0,1,0
27.0,2,6.0,3.84,3.65,3.56,7.15,65.0,62.0,8.81,1,0,1,0
29.0,0,4.42,2.49,2.88,3.19,4.64,76.0,39.0,6.77,0,1,1,0
22.0,1,7.29,3.62,2.02,3.67,5.49,235.0,42.0,10.17,2,0,1,0
31.0,2,5.99,1.04,2.1,0.91,7.82,136.0,122.0,8.35,0,1,1,0
21.0,0,5.11,2.34,0.75,2.06,4.56,141.0,94.0,8.09,1,0,1,0
28.0,2,3.6,2.21,2.66,2.55,6.95,189.0,121.0,4.91,1,0,2,0
34.0,0,5.72,0.6,0.92,5.68,8.73,104.0,30.0,7.82,0,0,2,0
33.0,1,6.39,1.12,2.55,5.22,6.01,181.0,97.0,7.9,0,0,1,0
32.0,0,3.29,2.72,1.01,5.36,8.09,205.0,78.0,4.33,0,0,2,0
20.0,2,5.63,3.94,0.5,3.32,8.54,243.0,115.0,6.54,0,0,1,0
30.0,1,6.53,3.15,1.11,3.16,8.95,101.0,151.0,9.28,1,0,1,0
26.0,0,5.75,1.51,2.02,5.16,8.77,20.0,17.0,6.8,2,0,2,0
29.0,0,3.17,0.92,0.65,2.66,7.89,197.0,110.0,5.5,0,0,1,0
32.0,0,5.09,2.08,2.28,4.13,6.41,65.0,52.0,7.61,1,0,1,0
18.0,0,4.81,3.55,3.22,5.82,4.77,37.0,30.0,5.43,1,0,1,0
34.0,2,4.76,1.58,1.78,2.86,6.81,161.0,117.0,6.57,2,1,1,0
19.0,2,6.23,3.67,1.06,2.87,8.77,166.0,160.0,7.3,0,0,1,0
30.0,2,6.15,3.4,1.09,3.83,7.26,230.0,119.0,8.54,0,1,1,0
27.0,0,3.19,1.81,1.46,3.1,5.69,123.0,67.0,5.19,1,0,2,0
34.0,1,5.91,0.56,0.56,5.61,7.68,235.0,73.0,7.68,2,0,2,0
23.0,1,4.27,2.86,3.48,2.58,7.54,213.0,97.0,7.11,0,1,2,0
33.0,2,3.1,3.03,1.45,0.83,8.31,235.0,122.0,5.61,2,0,1,0
28.0,2,4.64,1.5,0.38,4.59,6.91,177.0,94.0,5.84,0,1,1,0
26.0,0,5.45,0.58,3.5,3.49,8.73,129.0,105.0,8.43,1,1,2,0
26.0,2,5.03,1.34,2.27,3.76,7.67,103.0,54.0,5.74,2,0,2,0
21.0,1,3.24,3.01,3.63,2.0,4.82,215.0,93.0,4.21,2,1,2,0
21.0,1,3.67,3.98,0.2,2.9,6.37,192.0,49.0,4.76,1,1,2,0
28.0,2,5.27,3.0,0.14,5.27,6.33,113.0,121.0,7.88,1,0,1,0
34.0,2,5.1,1.7,1.34,5.67,7.47,212.0,67.0,6.1,2,0,2,0
33.0,2,4.36,3.96,0.42,3.18,6.33,132.0,139.0,6.33,0,0,2,0
26.0,2,5.17,3.36,3.54,2.6,6.93,155.0,50.0,7.81,2,1,2,0
18.0,1,6.4,0.51,1.43,4.48,7.53,177.0,27.0,8.18,2,0,1,0
19.0,0,3.26,3.21,3.3,1.82,8.98,226.0,131.0,4.22,0,0,2,0
27.0,0,3.82,0.88,2.46,0.99,5.4,113.0,122.0,5.1,0,1,1,0
33.0,1,5.9,3.78,2.49,3.02,6.29,100.0,41.0,6.81,2,0,1,0
35.0,1,4.69,3.2,1.69,4.75,4.76,40.0,15.0,5.39,0,1,2,0
35.0,0,6.2,1.93,1.05,1.2,5.24,229.0,74.0,8.27,1,1,1,0
28.0,0,6.05,3.0,3.95,3.58,6.61,183.0,56.0,8.13,0,1,1,0
27.0,1,3.82,2.35,1.98,5.52,6.84,121.0,70.0,6.57,1,1,1,0
24.0,2,4.49,3.1,0.52,4.76,7.17,122.0,119.0,7.4,2,0,1,0
26.0,0,4.91,0.99,0.65,0.87,7.71,197.0,118.0,6.3,0,0,1,0
26.0,1,3.43,3.66,3.48,4.51,8.23,169.0,44.0,4.72,1,1,1,0
23.0,2,3.17,1.04,2.59,1.06,5.19,220.0,113.0,4.64,1,1,2,0
33.0,2,3.01,0.54,3.05,3.07,7.68,175.0,126.0,5.2,1,1,1,0
20.0,1,3.67,2.38,0.85,1.15,4.75,191.0,104.0,6.41,0,0,1,0
27.0,2,4.42,2.77,1.73,0.98,5.86,74.0,19.0,6.4,2,1,2,0
31.0,2,6.2,2.91,1.26,1.82,7.39,108.0,60.0,7.0,2,0,1,0
31.0,2,7.31,2.18,1.92,5.21,5.34,172.0,146.0,8.83,0,1,1,0
25.0,1,4.86,1.23,2.46,3.59,8.11,204.0,155.0,7.73,0,0,2,0
24.0,1,3.21,2.72,3.28,2.6,4.79,193.0,157.0,5.3,2,1,1,0
19.0,0,4.56,3.75,0.32,1.65,7.92,152.0,84.0,5.65,2,1,2,0
29.0,1,5.25,2.36,3.14,5.84,6.79,150.0,166.0,5.79,1,1,2,0
20.0,2,4.78,0.74,0.11,4.77,8.37,38.0,137.0,5.29,2,1,1,0
19.0,2,5.94,2.92,3.4,2.2,7.9,63.0,36.0,8.42,2,0,2,0
22.0,0,3.9,3.5,1.45,3.55,5.47,108.0,146.0,6.75,2,1,1,0
31.0,1,5.84,2.64,1.83,2.34,7.98,48.0,36.0,8.4,0,1,1,0
31.0,1,3.59,2.87,3.04,4.3,6.82,68.0,17.0,6.14,0,0,2,0
33.0,2,7.86,1.69,3.3,1.18,7.6,36.0,76.0,8.91,2,1,1,0
18.0,0,5.53,0.76,1.96,4.97,6.39,161.0,94.0,8.11,2,1,2,0
21.0,0,6.22,2.0,2.16,3.88,8.66,159.0,37.0,8.4,1,1,1,0
21.0,1,5.03,3.66,3.68,1.6,6.58,132.0,86.0,7.62,0,0,2,0
18.0,2,5.64,1.47,1.9,2.91,7.77,223.0,106.0,8.24,0,1,1,0
31.0,2,3.61,0.61,2.3,1.15,7.89,75.0,104.0,5.12,0,0,1,0
30.0,1,4.2,0.81,3.98,3.94,4.65,154.0,21.0,5.57,2,0,1,0
33.0,2,6.36,1.35,3.54,5.29,4.6,49.0,130.0,7.66,2,1,1,0
18.0,1,5.88,3.03,0.47,1.75,6.65,120.0,22.0,8.8,2,0,2,0
21.0,0,3.78,3.07,2.12,1.82,8.97,37.0,85.0,4.99,1,0,1,0
31.0,2,5.97,3.42,1.62,2.25,5.01,79.0,36.0,6.8,1,1,2,0
34.0,2,4.13,3.89,2.57,3.16,4.71,211.0,125.0,6.28,1,0,2,0
22.0,0,5.33,2.14,3.4,3.39,6.06,158.0,172.0,7.65,2,1,1,0
26.0,0,5.41,2.15,3.63,5.83,4.87,206.0,150.0,7.62,0,1,2,0
25.0,1,7.4,0.51,2.15,5.48,6.74,115.0,34.0,9.44,0,1,1,0
31.0,0,3.24,1.83,3.04,3.05,7.86,81.0,56.0,4.81,1,0,1,0
25.0,0,3.7,0.84,3.22,1.65,5.48,79.0,154.0,6.53,1,0,2,0
31.0,2,7.91,1.26,0.82,5.51,7.56,245.0,35.0,8.78,1,1,1,0
24.0,0,3.19,3.49,1.07,1.2,7.99,104.0,134.0,3.74,1,0,2,0
33.0,2,5.93,3.81,1.75,1.07,8.28,115.0,121.0,8.43,1,1,2,0
19.0,0,4.17,1.37,3.22,2.25,7.76,129.0,74.0,6.1,1,0,1,0
34.0,0,4.92,1.05,0.05,3.65,5.37,108.0,157.0,7.12,2,0,2,0
18.0,2,4.56,3.52,1.76,1.39,8.34,235.0,155.0,5.14,0,0,1,0
23.0,0,3.38,3.73,2.3,2.48,8.94,32.0,150.0,5.31,0,0,1,0
33.0,2,4.72,0.74,1.57,2.28,7.81,151.0,150.0,6.79,2,0,1,0
19.0,1,4.04,2.02,1.88,2.73,6.58,127.0,126.0,4.74,2,1,2,0
31.0,2,6.25,2.71,1.38,4.84,8.22,144.0,36.0,7.21,2,1,1,0
18.0,2,5.71,3.28,2.46,2.64,7.25,112.0,113.0,7.22,0,1,2,0
33.0,1,5.88,2.67,1.73,1.88,5.93,90.0,166.0,8.78,1,1,2,0
34.0,0,6.13,1.78,3.92,5.53,5.58,41.0,170.0,8.71,0,0,1,0
32.0,0,7.55,1.65,0.19,3.71,7.59,227.0,63.0,8.39,2,1,1,0
33.0,1,5.8,3.0,3.98,1.08,7.32,36.0,143.0,6.98,2,1,2,0
21.0,2,5.62,3.04,3.98,1.15,5.33,192.0,170.0,8.0,2,1,2,0
30.0,0,5.16,1.61,1.49,4.83,7.76,32.0,172.0,6.29,1,1,1,0
23.0,0,5.39,3.28,1.52,3.58,6.72,41.0,78.0,6.25,0,0,1,0
19.0,0,4.72,2.22,0.44,5.58,4.9,80.0,90.0,5.44,1,0,2,0
30.0,0,5.99,0.8,3.75,1.94,5.97,250.0,96.0,8.61,0,1,2,0
29.0,1,5.08,1.93,0.08,2.66,6.46,129.0,175.0,7.53,1,0,2,0
25.0,2,4.21,3.54,1.45,4.61,5.04,197.0,170.0,5.13,1,1,2,0
24.0,0,3.02,0.65,0.69,1.81,6.89,151.0,69.0,5.8,2,1,1,0
21.0,0,6.73,3.64,1.97,2.7,7.57,166.0,126.0,7.25,2,1,1,0
22.0,2,5.61,2.62,0.64,5.55,6.3,116.0,48.0,7.6,0,1,1,0
32.0,2,5.55,1.0,1.7,1.68,5.71,20.0,103.0,7.2,1,1,1,0
28.0,1,4.64,2.42,0.71,1.86,5.08,96.0,83.0,6.8,0,0,1,0
29.0,2,5.87,0.53,2.2,4.34,6.52,101.0,82.0,7.61,2,1,1,0
32.0,1,3.25,2.85,0.71,4.85,4.5,200.0,124.0,6.1,0,1,1,0
29.0,2,4.55,3.35,3.03,5.88,5.57,102.0,123.0,6.42,2,1,2,0
23.0,1,3.19,3.11,2.01,0.52,6.76,249.0,61.0,4.12,0,1,1,0
23.0,0,6.88,0.69,0.71,1.44,4.72,21.0,134.0,8.56,0,1,1,0
35.0,2,3.94,1.08,1.39,5.43,6.94,57.0,90.0,5.39,2,0,2,0
19.0,2,7.87,1.14,1.43,4.79,5.13,240.0,145.0,9.41,1,1,1,0
32.0,2,3.51,1.1,1.37,1.3,8.56,49.0,43.0,6.12,2,0,1,0
35.0,1,4.08,1.73,0.87,2.98,5.69,215.0,15.0,6.33,2,1,2,0
24.0,0,3.77,3.09,3.84,1.43,8.1,93.0,19.0,6.18,2,1,2,0
29.0,1,3.03,3.6,2.3,0.65,8.76,91.0,20.0,4.82,0,0,1,0
33.0,2,5.6,1.99,2.76,4.42,5.38,68.0,36.0,7.41,2,0,1,0
28.0,0,5.3,3.61,0.98,5.55,8.8,47.0,52.0,7.72,1,1,2,0
19.0,1,7.12,2.72,2.97,3.17,7.66,236.0,80.0,9.23,0,1,1,0
33.0,0,6.94,1.79,0.89,0.73,8.09,127.0,145.0,7.56,0,1,1,0
32.0,0,4.56,2.79,1.34,0.87,8.54,52.0,126.0,5.31,1,0,2,0
21.0,0,4.61,3.5,0.76,5.38,5.38,23.0,34.0,6.28,2,1,1,0
23.0,0,4.87,0.53,3.74,1.52,8.9,53.0,74.0,7.79,1,1,1,0
27.0,1,5.05,1.69,2.92,4.55,8.34,197.0,106.0,7.84,2,0,2,0
20.0,0,3.62,1.23,3.95,1.39,7.88,22.0,172.0,6.45,2,1,2,0
33.0,1,6.86,1.91,0.19,5.73,7.64,49.0,38.0,8.61,2,1,1,0
25.0,2,5.33,1.94,2.81,5.84,8.4,39.0,118.0,5.92,2,0,1,0
35.0,0,4.17,2.72,1.13,2.68,8.74,53.0,69.0,6.5,1,0,1,0
28.0,1,3.12,1.8,2.0,3.43,8.73,106.0,17.0,4.53,1,1,1,0
20.0,2,5.39,1.23,3.88,2.34,7.96,182.0,119.0,6.29,1,0,2,0
20.0,2,4.15,0.8,1.43,3.84,4.75,166.0,148.0,6.19,0,1,2,0
23.0,2,4.36,0.72,2.87,5.58,8.45,227.0,142.0,5.93,2,0,2,0
33.0,1,7.39,2.3,3.41,3.69,6.34,113.0,168.0,8.77,0,1,1,0
25.0,1,7.19,2.84,2.54,5.54,5.84,25.0,68.0,9.26,1,1,1,0
34.0,1,3.13,0.67,2.53,2.37,7.96,247.0,61.0,4.96,1,0,2,0
28.0,0,4.57,1.66,3.98,1.07,5.65,215.0,39.0,6.15,0,0,2,0
34.0,2,5.54,0.58,2.8,5.16,7.6,78.0,17.0,7.99,2,0,1,0
26.0,1,3.92,2.35,3.11,2.04,6.34,116.0,127.0,5.81,1,1,1,0
30.0,1,5.67,2.68,2.61,4.38,4.92,123.0,147.0,7.09,1,1,1,0
33.0,0,4.06,3.37,1.2,3.51,5.92,183.0,78.0,5.24,2,1,2,0
20.0,2,3.48,0.99,0.52,4.94,7.41,227.0,93.0,5.15,2,1,1,0
19.0,1,5.38,3.01,0.33,1.79,6.71,175.0,57.0,6.88,2,1,1,0
18.0,1,6.79,3.15,3.17,1.26,5.71,100.0,176.0,8.07,0,1,1,0
23.0,1,4.09,3.33,0.41,3.93,5.42,101.0,152.0,6.64,0,1,2,0
33.0,2,4.29,2.18,0.55,0.89,7.96,120.0,29.0,6.08,2,1,1,0
32.0,1,4.81,1.7,1.01,5.23,6.14,33.0,149.0,5.84,1,0,2,0
19.0,0,7.15,3.98,0.62,3.48,8.46,224.0,172.0,8.53,0,0,1,0
32.0,2,5.89,2.32,2.77,3.0,8.43,142.0,78.0,7.31,0,0,1,0
30.0,2,7.32,3.07,1.52,3.87,6.92,124.0,80.0,8.5,1,1,1,0
29.0,2,3.74,1.08,1.05,1.42,8.0,64.0,97.0,5.08,1,1,2,0
32.0,0,3.99,3.65,2.8,2.74,6.09,199.0,92.0,6.87,2,0,1,0
34.0,2,3.8,1.59,2.5,1.33,6.64,243.0,81.0,5.92,1,0,1,0
30.0,2,4.09,3.1,2.44,3.43,5.24,135.0,111.0,4.8,2,1,1,0
26.0,0,5.21,0.76,3.92,3.47,6.75,186.0,45.0,6.09,1,0,1,0
24.0,0,3.72,1.38,3.72,0.86,8.86,158.0,82.0,5.04,0,1,1,0
30.0,0,3.94,1.49,1.34,3.4,7.7,174.0,139.0,5.34,1,0,2,0
28.0,2,5.64,3.04,3.58,5.58,6.58,121.0,25.0,7.44,2,0,1,0
35.0,1,3.73,0.81,1.47,2.98,8.13,58.0,21.0,4.34,1,0,1,0
28.0,1,4.87,3.25,1.79,4.34,4.89,165.0,20.0,5.42,2,1,2,0
18.0,0,4.85,1.42,1.67,2.75,4.91,163.0,18.0,6.62,2,0,1,0
19.0,2,4.04,3.04,3.67,2.12,6.28,158.0,71.0,5.28,2,0,1,0
25.0,0,5.45,3.24,0.69,5.1,5.79,183.0,22.0,8.05,2,1,1,0
21.0,2,5.68,2.59,2.24,4.55,7.63,155.0,162.0,7.58,0,0,2,0
18.0,1,3.61,0.87,2.4,4.91,8.14,87.0,166.0,5.9,1,1,1,0
31.0,0,7.87,3.85,1.41,0.94,8.54,154.0,87.0,9.75,1,0,1,0
21.0,0,7.14,0.6,3.85,2.61,5.47,207.0,51.0,9.19,2,0,1,0
22.0,0,6.04,2.84,3.14,2.17,5.45,80.0,50.0,8.78,0,1,1,0
31.0,2,5.31,3.16,3.71,5.72,5.62,34.0,169.0,8.25,2,0,2,0
28.0,1,3.21,3.82,0.59,2.48,7.69,231.0,127.0,4.49,1,1,2,0
20.0,2,6.82,0.82,3.84,2.45,5.36,222.0,41.0,9.76,2,0,1,0
27.0,0,4.63,0.62,3.66,1.72,5.93,245.0,142.0,6.25,0,1,2,0
19.0,1,5.61,1.85,1.53,5.81,6.19,213.0,73.0,8.6,1,0,1,0
33.0,1,5.67,1.29,2.93,0.54,7.91,162.0,64.0,6.21,0,0,1,0
28.0,1,4.9,1.92,3.41,1.19,5.9,153.0,122.0,6.7,2,1,2,0
23.0,1,4.64,0.95,2.73,3.95,5.22,205.0,26.0,5.22,1,1,2,0
27.0,2,5.64,2.23,1.28,4.33,7.18,147.0,142.0,6.61,1,0,2,0
20.0,1,3.88,1.93,0.45,3.31,5.83,223.0,133.0,5.52,1,0,2,0
27.0,0,7.38,0.7,2.27,2.96,8.91,229.0,108.0,9.55,1,1,1,0
32.0,2,4.79,0.52,0.25,0.98,4.94,177.0,79.0,5.92,0,1,1,0
33.0,2,5.6,2.65,1.25,1.28,6.5,27.0,90.0,6.99,0,1,1,0
34.0,1,5.52,3.43,3.64,2.69,7.3,40.0,152.0,7.82,1,0,1,0
23.0,0,3.72,1.81,2.28,0.69,7.21,184.0,67.0,6.11,0,0,2,0
22.0,2,5.03,1.27,1.08,5.8,5.44,42.0,43.0,6.14,2,0,2,0
18.0,2,5.23,3.48,3.71,4.57,8.93,181.0,110.0,7.53,2,0,2,0
35.0,0,3.19,2.07,1.61,1.14,5.16,84.0,120.0,4.53,1,0,1,0
30.0,1,4.99,2.62,3.01,2.65,8.89,161.0,44.0,6.01,2,1,2,0
20.0,2,5.11,2.94,2.98,2.27,6.63,88.0,16.0,7.27,1,1,1,0
